Subject,Alpha,Final_Heading,Final_Stdev,Trial_Number
13,40,19.1269,3.0884,2
13,40,14.8972,7.74,3
13,50,-19.5577,1.1541,4
13,30,2.567,1.317,5
13,80,-19.6795,7.2603,6
13,20,7.4229,1.7074,7
13,90,29.186,3.4889,8
13,60,21.0101,3.4135,9
13,40,20.3335,2.515,10
13,40,13.8355,2.1042,11
13,50,-26.8348,3.7283,12
13,40,-14.5624,4.149,13
13,30,8.2987,1.3028,14
13,70,24.2367,1.1907,15
13,30,7.2129,3.0714,16
13,50,-22.2027,1.2857,17
13,120,52.2289,1.6633,18
13,70,-18.4995,2.1953,19
13,50,25.5041,3.7301,20
13,120,54.261,2.0877,21
13,30,14.4239,1.278,22
13,50,-21.2174,3.7998,23
13,40,14.9546,1.1923,24
13,30,12.1609,0.77161,25
13,0,2.6597,1.6382,26
13,70,21.8224,2.1798,27
13,120,52.1633,3.1591,28
13,60,-26.8722,1.9303,29
13,0,-0.49047,0.43712,30
13,80,32.9743,3.2051,31
13,120,-57.3524,3.9326,32
13,0,-1.7792,2.6915,33
13,30,7.5717,1.9926,34
13,30,0.36283,1.0878,35
13,40,4.9371,1.2114,36
13,20,-0.36798,1.6447,37
13,120,48.7091,2.9406,38
13,60,11.9536,3.9852,39
13,80,-29.9967,0.69991,40
13,50,15.1227,1.1737,41
13,70,-24.0363,3.5961,42
13,30,12.5689,4.0312,43
13,90,34.1949,1.6598,44
13,20,-8.2882,2.8551,45
13,30,-8.0444,3.7776,46
13,60,28.6339,3.134,47
13,120,47.0112,1.1424,48
13,60,22.2245,2.6201,49
13,120,45.4413,1.8833,50
13,90,-27.8706,1.6663,51
13,90,-33.0266,5.3774,52
13,120,-35.9909,2.3344,53
13,50,18.2411,3.4866,54
13,70,22.4375,3.4794,55
13,120,50.847,9.823,56
13,70,-25.1569,1.9682,57
13,20,-1.0152,2.8373,58
13,20,-7.903,1.3751,59
13,40,19.9607,1.4418,60
13,0,-3.0649,1.5078,61
13,60,-12.7748,2.1989,62
13,20,-8.3891,2.7286,63
13,80,-33.1591,2.0101,64
13,80,28.0125,2.0865,65
13,60,25.6636,2.8865,66
13,80,-34.8056,3.654,67
13,20,1.6097,3.6551,68
13,70,25.3834,2.5637,69
13,0,1.0805,2.4079,70
13,20,10.2769,1.0011,71
13,0,-1.7404,1.7317,72
13,0,-3.6955,0.69244,73
13,40,-17.3053,3.6262,74
13,0,3.5784,0.99532,75
13,70,26.7459,2.1456,76
13,90,28.4025,4.7917,77
13,120,57.3482,2.6525,78
13,80,33.5826,2.2756,79
13,90,-39.9259,2.1149,80
13,0,-0.17961,0.99561,81
13,80,-39.898,1.2508,82
13,90,-38.2203,2.3977,83
13,30,9.796,3.6127,84
13,60,26.8065,2.7935,85
13,70,-27.2382,2.2932,86
13,90,44.319,1.0869,87
13,20,-4.1296,2.0993,88
